Address,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Street number,Street,Postal code,City,Country,Region,Department,Department number,Plus_Code,Plus_Code_Compound,Plus_Code_Global
"J13. Taramani Police station,chennai tamil nadu","Ok, partial match","X6VV+V5X, Nehru St, Kanagam, Tharamani, Chennai, Tamil Nadu 600113, India",12.994747,80.2429914,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Nehru Street,600113,Chennai,India,Tamil Nadu,,,,,
"J9. Thoraipakkam Police station,chennai tamil nadu","Ok, partial match","Rajiv Gandhi Salai, W6VP+HJJ, Pillaiyar Koil St, Jothi Nagar, Thoraipakkam, Chennai, Tamil Nadu 600097, India",12.9439555,80.236508,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Pillaiyar Koil Street,600097,Thoraipakkam,India,Tamil Nadu,,,,,
"J10. Chemmanchery Police station,chennai tamil nadu","Ok, partial match","35, OMR, Rajiv Gandhi Salai, Ezhil Nagar, Sholinganallur, Chennai, Tamil Nadu 600119, India",12.9005906,80.2281071,"establishment, point_of_interest, police",ROOFTOP,OMR,Rajiv Gandhi Salai,600119,Chennai,India,Tamil Nadu,,,W62H+66,"W62H+66 Chennai, Tamil Nadu, India",7M42W62H+66
"J11. Kannagi Nagar Police station,chennai tamil nadu","Ok, partial match","3941, 25th Main Rd, Kannagi Nagar, Thoraipakkam, Chennai, Tamil Nadu 600097, India",12.9318925,80.238449,"establishment, point_of_interest, police",ROOFTOP,3941,25th Main Road,600097,Thoraipakkam,India,Tamil Nadu,,,W6JQ+Q9,"W6JQ+Q9 Thoraipakkam, Tamil Nadu, India",7M42W6JQ+Q9
"J8. Neelangari Police station,chennai tamil nadu","Ok, partial match","221, SH 49, Saraswathi Nagar, Neelankarai, Chennai, Tamil Nadu 600115, India",12.9476287,80.2539976,"establishment, point_of_interest, police",ROOFTOP,221,State Highway 49,600115,Chennai,India,Tamil Nadu,,,W7X3+3H,"W7X3+3H Chennai, Tamil Nadu, India",7M42W7X3+3H
"J12. Kannathur Police station,chennai tamil nadu","2 found, use single geocode.","V68V+GV9, Uthandi, Kanathur, Chennai, Tamil Nadu 600119, India",12.8662835,80.2447433,"establishment, point_of_interest",GEOMETRIC_CENTER,,,600119,Kanathur,India,Tamil Nadu,,,,,
"R1. Mambalam Police station,chennai tamil nadu","Ok, partial match","No 1, Madley Road, T Nagar, Asoka Nagar, T. Nagar, Chennai, Tamil Nadu 600017, India",13.0350103,80.229475,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,,600017,Chennai,India,Tamil Nadu,,,26PH+2Q,"26PH+2Q Chennai, Tamil Nadu, India",7M5226PH+2Q
"R4. Soundarapandiyanar Police station,chennai tamil nadu","Ok, partial match","Chennai, Tamil Nadu, India",13.0826802,80.2707184,"locality, political",APPROXIMATE,,,,Chennai,India,Tamil Nadu,,,,,
"angadi (Pondi bazaar) Police station,chennai tamil nadu","Ok, partial match","Pondy Bazaar, Parthasarathi Puram, T. Nagar, Chennai, Tamil Nadu 600017, India",13.0398891,80.2368745,"political, sublocality, sublocality_level_3",APPROXIMATE,,,600017,Chennai,India,Tamil Nadu,,,,,
"R8. Vadapalani Police station,chennai tamil nadu","Ok, partial match","283, Arcot Rd, Ottagapalayam, Somasundara Bharathi Nagar, Vadapalani, Chennai, Tamil Nadu 600026, India",13.0495655,80.2116956,"establishment, point_of_interest, police",ROOFTOP,283,Arcot Road,600026,Chennai,India,Tamil Nadu,,,26X6+RM,"26X6+RM Chennai, Tamil Nadu, India",7M5226X6+RM
"R5. Virugambakkam Police station,chennai tamil nadu","Ok, partial match","25XX+VMH, Abbusali St, Saligramam, Chennai, Tamil Nadu 600093, India",13.0496952,80.1992196,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Abbusali Street,600093,Chennai,India,Tamil Nadu,,,,,
"R9. Valasaravakkam Police station,chennai tamil nadu","Ok, partial match","25VG+8CQ, Seenirkuppam Road, Devikarumariamman Nagar, Valasaravakkam, Chennai, Tamil Nadu 600087, India",13.0433281,80.1761225,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Seenirkuppam Road,600087,Chennai,India,Tamil Nadu,,,,,
"R11. Royala nagar Police station,chennai tamil nadu","Ok, partial match","25JH+QF4, Bharathi Salai, Andavar Nagar, Thiruvalluvar Nagar, Ramapuram, Chennai, Tamil Nadu 600083, India",13.0318896,80.1786947,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Bharathi Salai,600083,Chennai,India,Tamil Nadu,,,,,
"R3. Ashok Nagar Police station,chennai tamil nadu","Ok, partial match","26V8+HWP, 2nd St, Raghavan Colony, Kodambakkam, Chennai, Tamil Nadu 600024, India",13.0439646,80.2173305,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,2nd Street,600024,Chennai,India,Tamil Nadu,,,,,
"R7. K.K. Nagar Police station,chennai tamil nadu","Ok, partial match","85, PT Rajan Rd, Sector 13 Jeevanantham Salai, Sector 2, K. K. Nagar, Chennai, Tamil Nadu 600083, India",13.0420011,80.2063773,"establishment, point_of_interest, police",ROOFTOP,85,PT Rajan Road,600083,Chennai,India,Tamil Nadu,,,26R4+RH,"26R4+RH Chennai, Tamil Nadu, India",7M5226R4+RH
"R10. MGR Nagar Police station,chennai tamil nadu","Ok, partial match","26J2+CMX, Guru Siva St, Sapthagiri Colony, West Jafferkhanpet, Chennai, Tamil Nadu 600083, India",13.0311075,80.2017321,"establishment, point_of_interest, police",GEOMETRIC_CENTER,,Guru Siva Street,600083,Chennai,India,Tamil Nadu,,,,,
"E3. Teynampet Police station,chennai tamil nadu","Ok, partial match","494, Anna Salai, JJ Nagar, Teynampet, Chennai, Tamil Nadu 600006, India",13.0395894,80.2451998,"establishment, point_of_interest, police",ROOFTOP,494,Anna Salai,600006,Chennai,India,Tamil Nadu,,,26QW+R3,"26QW+R3 Chennai, Tamil Nadu, India",7M5226QW+R3
"R2. Kodambakkam Police station,chennai tamil nadu","Ok, partial match","4/23, Kamarajar Colony, Dr.Subbaraya Nagar, Kodambakkam, Chennai, Tamil Nadu 600024, India",13.0512074,80.2191968,"establishment, point_of_interest, police",ROOFTOP,,,600024,Chennai,India,Tamil Nadu,,,3629+FM,"3629+FM Chennai, Tamil Nadu, India",7M523629+FM
